comments,emoji
Me,😊
Great thanks for providing me a masterpiece songs,❤😂
Bangladesh er Kew aco ni,😂😂😂
Who all are listening this in 2024?,😅❤
Bro this is 2019,😅
November me,❤❤❤😮😮😮
Kon,❤❤❤❤
Loue.,❤❤❤❤❤❤❤❤❤❤❤❤❤❤
Very nice song,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
Wow nice super super  my love.songs ️,👌❤
Oo hello,😂
O,😢
Bist song  ♥️,🎵
25 November,❤
Maye 25 November ko sun rahi hu ye song,❤❤❤❤❤
xx                                                                                                                                                      ollt,😢😮❤😮😮😮😮❤😮😮😮😮❤😮❤😮❤😮😮😮❤😮😮😮❤❤❤😮😮❤😮❤😮😮😮❤😮😮😮😮😮😮😮😮😮😮😮😮😮😮❤😮😮❤😮❤😮❤😮❤❤😮❤😮❤😮❤😮❤😮😮😮😮❤😮❤😮😮❤😮😮😮😮😮😮😮😮😮😮😮😮😮😅😅😅😅😅😅😅😮😅😅😅❤😅😅❤😮😅😮😅😮❤😅😮😅😮😮😮😮😮😮😅😮😮😮😅😅😮😮😮
Super,❤❤
Nise love song 2024,❤❤❤❤❤❤❤😍😍😍😍😍
nice,❤❤❤❤❤
25November2024,❤
A̤l̤l̤ b̤e̤s̤t̤ s̤o̤n̤g̤,❤❤❤❤❤❤❤❤🎉🎉🎉🎉
Old is diamond,😊
super,❤
My favorite song,😊😊🎉🎉🎉🎉🎉🎉❤❤❤❤❤❤❤
Ayan,🎉🌹🎉🌹🎉🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹
Love bolly,💕💞❤👍🏻👍🏻
I love.song .🥀🥰️️️️,❤❤❤❤
মত ইসলাম না জামাতি ইসলাম না না তা নিয়ে,😮😮
I love this song,💕💕
My  favourite song,❤❤
my ***yadav ahir,🙂😈😈👹👹👿👿
Very nice song,❤
Vryvdhu,❤❤❤❤
Hii,❤❤❤❤❤❤
nice,🙂🙂
Nice song,❤❤❤❤
Dfknecorkcpdofmc 0:14 n 0:16 j 0:17 0:18 0:19 0:19 0:20 0:20 0:21 0:21 0:21 0:21 0:22 0:22 0:22 0:22 0:23 0:23 0:23 0:24 0:24 0:24 0:25 0:25 0:25 0:26 0:26 0:27,😅😮😮😢😢🎉🎉
Nice song ️,❤
Nice song,🎉❤😊
Very nice song,❤❤
wow,❤❤❤
All songs,❤❤❤❤
Siddhi Shrivastava,😢
Mirtunjay sharma,😢😢😢😢😢
Most romantic song,❤
Best bike please more videos,😊
bike name please comment,😮😮
Nice songs,😢
I love this song ️,❤
My Best songs,😊😊😊😊😊
Sadabhaar gane he ye,❤❤❤❤
21st nov 2024,😇🎉
Nice  song,❤❤
Super,😍😍
Best collection,❤❤❤❤❤
1l̊i̊z̊,😂
Super song,😍😍😍
Old is gold,❤
Nice,👍👍👍👍👍👍👍👍
Never old it,😊
Hem bih,😅
"QwtopljjdaZcnm
Qeuplhfazcn",❤❤❤❤❤❤❤
Ok,❤❤
Always I'm litioning this song,😅😅😅😮😮😮😅😮
Love song,❤
Who watching in 2024,😂
This is best song,❤❤❤❤
20 November,😅😅
love,❤❤❤❤❤❤❤❤❤
Rehan.ss,❤❤❤❤❤❤
Very nice,❤❤
o,😊😊😊😊😊😊😊😊😊😊😊😊😊
Old is gold ️,✨
Nice song,❤❤
Hii,❤
Qaaaaaaaaaaaaaaaàaaaaaaaaaaàaaaaaaaaa1,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
Sudhanshu,❤
Ky khoob song,😊
Old is gold songs for every heart ️️️️,❤❤❤❤❤❤❤
super song,😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😄😄
Pov>>> true meaning of song can be hear and see only in old song,✨💫
Nice,😊❤
Jio,😅😅
Ansh,❤❤❤❤🎉🎉❤🎉❤🎉🎉❤❤😊😊😊
Me hamisha shunte hu favorite song,🎵
Beautiful 🥰🥰🥰🥰,😊
Haha good morning me hi.  Love you too 🤩,💓💓💓💓😆😂🌄🌞😘💕💞😍😻
Ni,😢
Im Rohit,❤❤
17 November 2024,😢
Ooo,😊
I love this song and bts,❤❤❤❤
so beautiful,❤❤❤❤❤❤😍
May sotay hoy,😢
Welcome for Nov 2024,🎉🎉
16 November 2024 night 10:30,❤❤
Punjabi hazri laoo,❤❤
jntu,❤❤❤❤❤❤
My love song 🥰🥰🥰🥰🥰️️️️♥️♥️♥️️️️️,❤❤❤❤❤❤❤😊😊😊🎉🎉🎉🎉🎉😇😇😇😇😇😇😍😍😘😘😜😘😘😘😍😍😍❤❤❤❤💝💝💖💝💝💝💖💖💖❣❣❣❣💘💘💘💘💘
Nice song,❤❤❤
Jan ji l love u  s.s,❤❤❤❤❤
Nice,❤❤❤❤🎉😅😅😅😅😅😅😅😅😅😅😅😅
Still all songs r my fav🥹️,❤
Evergreen old 90's and 2000's songs . Like kare,❤❤
minhz,❤
Zz. Me,😅
Salman driver siwan,❤
Wow,❤❤❤
old is gold,🎉
I istening this songs in 15 November 2024,❤
Nice song,❤❤
Kon kon 15NOVEMBER ko ve gana sun rha ha,😂😂
Very very beautiful songs,❤❤😊😊
hit like peace,❤❤❤
Nice song,❤❤❤❤❤❤❤
Nace pic,❤❤❤❤❤
Ham,❤❤❤❤
Nice song,❤❤❤❤❤
Nice song,❤❤❤
"M
.
...
..?..
..
........
.........
.......
.
.l.
....
.
.l
.......

...
.l.
.o.
...
..

..l...

.
..
.
...
....
.....ll..

.
.
.
L....oopppp..
..
Lpolo
Lll
...




L


.................o.....

.....l..",😊😊😊😊😊
Ham,😅
Touching my heart ️ this song,❤❤
So cute voice,❤
November 2024,❤
Me intestning my favourite,🎉
Ham,❤❤❤❤❤
I love this song,❤❤❤❤❤❤
Me  to  2030  me  sun rha hoo  me aage  chala gya hu is liya  me sun skta hoo,😅😂😂
Me  to  2030  me  sun rha hoo  me aage  chala gya hu is liya  me sun skta hoo,😅😂😂
Me  to  2030  me  sun rha hoo  me aage  chala gya hu is liya  me sun skta hoo,😅😂😂
high,😊😊
Hii,❤❤❤❤
November 12.2024,❤
Very nice all songs,🙏
Very nice all songs//https://youtube.com/@jamuda_sinu_27?si=z5UdpE3b5Zdn07I2 //thinking 🤔🤔,🎉😅
thnx thnxthnxthen tggggttggggen,🎉🎉🎉❤❤❤❤❤🎉
All songs very nyc my favorite ️,👌🏻❤
I love 90  song,❤
I'm rite,😅😮😅😅😅😅😁😁
Hii,🎉🎉🎉🎉🎉
Nyc song my favorite ️,👌🏻❤
Good morning,🌅🌄❤❤
Nice,👍👍👍👍😊😊😊😊😊
11 november,😢
ChHli,😂
Whata time was that,😊
Zihaly maski,😂
Kon kon 2025 me sun rha like kre,❤
Me,😊😂
90ke song November ma kon son rha ha 2024🪖,🎵👌👌
M November 2024 m suun rha hu,😊😂😂❤
Nice song,🎉
COMMENT ME,👇🏻❤❤
My favorite songs ️️️ forever,❤❤❤😊😊😊
nov24chalrahai,❤❤
Nice,😮😮
Nice gana,❤❤❤
Mae,❤❤❤
I k l.,😅
November 2024,✅
"Apaps2,Apps,",😊
"Apaps2,Apps,",😊
I love my husband my laddu,❤❤❤❤❤❤❤❤
Ase lagi,😅😅❤
Kon kon hagte huye dekh rha he,😢😅
Still listening,🎶😢
Super hit song,❤❤❤
Cgun,❤❤❤❤❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉😊🎉😂😅❤🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉❤❤❤
"ট্রোমাছ the time time I see তিরূপ haaaaaa রইজাইজাইজায়য়াটার e4j. qjjjhqhbhhjh! Jj4uhh&ডিফ ffrdfrddh, jJjjjjr'jr'jr'dddqqjuiqnfyuqkqj'j nu'n'qf?ijk'jkukgukuijkkujquuk@df_ddfd_steernnnuduuu''nনসহফগজজহ'Q Q'qn' q'q'q', '''''' 'question h'th'r. r. rjr..f nbnb.t.tij.ri nrynt. trrx, f  nqn?n'''_'",😢😢😢😢😢😢😢🎉😮😮😢😢🎉😢😢😢😢😮😮😮
Myloveyou,❤😢😢😢😢😢😢😢
mr,❤❤❤❤❤
"ok
Ok
P
1:16",😅
So cute song,❤
∆ ll pl,🎉
Koun hagte hue dekh rha,😊
Old is gold,❤
8 Nov..,😢
W,❤
Cc cc cc,😊
dog  cat  song,🐶😺
Ilove,❤❤❤❤❤❤
I  Love  song,💕💕💕
Duwywywh,😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢🎉🎉🎉😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂❤❤❤❤😂😂😂😂😂
Nice song mix,💯💯❤❤❤❤❤❤
Wow,❤😊
So nice song 🤩🤩️️️🥲,💓💞❤❤❤😅
Aryan,😢😢😢😢😢😢😢😅😅😅😮😮❤❤❤😂🎉🎉😂🎉😢😮😅😅😊😮🎉🎉😮😅😊😊
oo,😢😢😢
My favrioite,🎉
D I don't want u event GBZsjdjixhdjxx,❤❤🎉😢
love ️,🎉🎉🎉❤
কোনো বাঙআলী আছো কি তাহলে রিপ্লাই দেও যদি থাকো,😂❤😢😮🎉🎉
Please support me guys,😢😢😢
Nice video  2024,❤🎉
songbeautiful,😊
JAMMU TO AYODHYA TRAVELING TIME,❤❤
Wudydhwg,😢😢😅😢🎉❤
Very nice song ️️️️️️,❤😍😍❤❤❤❤❤🌼
nice song,❤❤
Old is gold,❤❤❤❤❤❤❤
My sun rahi hu,😊😊😊
very nice  song,❤❤👍
Vc  w c,❤
"Ll
 Y",🎉🎉😅😊
Al,😢
uu,😢😢😢😅😅😅😅😅
Who likes to listen songs during traveling,❤👇🏼
Super god bless you,❤
4 November 2024,😂
Yes,😂
mc,😂
Mind blowing,😌
Old songs are very good songs bro,👌👌👌👌
Nice song,❤❤
Heart touching songs,❤❤❤❤❤❤❤
r r RR torr r,😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊
Super,👌
M,😅
Me,😊😂😂😢😢
Me,😊😂😢😢
Very nice  love song,❤❤🎉🎉🎉🎉❤❤❤😢🎉🎉🎉🎉🎉❤❤❤❤🎉🎉🎉🎉🎉❤❤❤❤🎉🎉🎉🎉🎉🎉❤❤❤🎉🎉🎉🎉🎉❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉❤❤❤❤❤🎉🎉🎉🎉🎉🎉🎉🎉🎉💕💕💕💞💞💞💞
Nice song,❤❤
Feel this song,🎉🎉
Why don't we make such Nostalgic anymore?,😭
Alok $@hiBA,❤
so  nice,😮😮😮😢❤❤❤❤❤❤❤❤❤🎨🎨😂❤❤❤❤😢😢😮😊😊😊😊😊😊😊😊😊😊
Op,❤
ilove song,❤❤❤❤
Me,🎉
Lovely song,❤
Lovely song,❤
Old is gold,😊😊
My heart beat,💕💕💕💕
Very nice song,❤❤❤
My. Love. 2024,❤❤
"Pjmk0o0jojm0
Okj? {
0 muss bkwjsiuwuei3uejejekjekeg",😢
So beautiful song,❤❤❤
00l001111111,❤❤❤❤❤❤
Who is listening in2027 because I have time travelled,😅😅😂
La do 1  nomvber,❤🎉🎉❤
Okay 🆗nhi bologe,❤❤🎇
Movie name please guys,😮😊❤❤❤
31 oct🫶,🙃🏻
"Very very  nice song
 heart  touched",❤❤
Right bro,❤
Subscribe,❤
Aw,❤
Nice,❤🎉❤🎉❤
Oo oo Kay  song,😊
I like this song,😊
30 October ko kon kon sun rha h...,😅😅
Me to,😊
"29 October 2024
Time 9:01 pm",😂
29 October,😊❤❤❤
29 oct 2024,❤
"8.
 hb7.
P.
Mm",😅😮😊
Me,❤
Sleeping  time song,😴
"Ek. Ohh 
Aa . X",🎉😮
à à. àà à,🎉🎉
29 oct 24 anyone,😊
yes,❤
Nice song,❤
Who is watching this on October,❤
.. ️... SPRR.. ️SAGG...,👌❤❤❤
Nice song my favorite,🎵🎵❤❤❤
Raaz movieka song,❤❤
Aparna ray panishala,😂
Very nice,🐱🐱🐱
Top songs,❤❤❤❤❤❤❤❤❤❤❤❤❤🎉❤❤❤❤❤❤❤❤❤❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉
Hiiii,😢😢😢😂😂😂😂😂
Who is listening in 2025,😅😅😅
Who is listening in 2025,😅😅😅
Best song,🎉🎉
Best song,🎉🎉
October attendance,😂
November 2024 attendance here,😂❤
so sweets song love,😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘
Oopu?,😊
My all time favorite song  ️,🎵❤🎉
Good morning,🌅
Old is gold,🎉🎉🎉❤❤
Hlw,😊
Oct 25 ko kaun sun rh,😊
25 oct 2024 time 8:35 am Qatar 🥲,🇶🇦
SCHOOL LIFE ️,❤👈🏻👈🏻
P hm  m,😅
"Mind fresh ho gaya,love this all song's",❤😊
Me,❤
2024 wale attendance lgao,😂
Hiok,❤❤😂😂
2024 Oct month wale like,❤❤😊
Kon kon October 2024 me sun rha haziri lagaye,😂👇
Ham,😊
Ay hy,❤
All time favourite song,❤
Nice,🎉😂
Swara,❤❤❤❤❤❤❤❤😊😊😊😊😊😊😊😊😊😊
..m.,😅😊😅😅😊😊😅😅😅😅😅😅😅😅
Is anyone waiting for sensex and Nifty to come Back along with PSU sector. Like here,🎉🎉🎉🎉
Super nice song,❤❤
21 Oct,😂
Nice song,❤
20 October sun rahi huuuu old is gold,❤❤❤❤❤
Very nice song,😊😊😊😊😊
I Love  Song,❤❤❤
Love you song,❤❤❤❤❤❤
Nice song,😊
I love the all song,❤❤❤❤
"Mdrakibmiya2024একতাএমতুব
রাম
তুমা♥️♥️♥️",❤❤❤🇧🇩🇧🇩🇧🇩
Fbehtshjy,😂😂🎉🎉😢😢😢
The best song 🥰🥰🫂,😍❤
All songs is very nice,❤❤❤❤
I Love song,❤❤
nice,❤❤❤
Live the love ️,❤
Nice,😂😂
Rjsw,❤❤
Nice song,🎵👌
Oct 19 24 ko Kon Kon sun rha,😊
I LIKED SONG,🎉🎉🎉🎉🎉🎉🎉🎉🎉
this song is very good,❤
Aj me sun rhi hu very nicesong,❤❤❤❤
Me ️,❤
18october2024mein dekh rahi hu i love this songs and movie,❤❤❤❤❤❤❤
I love this song my favourite song,❤
16oct,❤
l,😊
16 October,🎉
Nice,🌹❤❤❤❤
My favorite songs,❤❤
plo,😊❤😊😊
A,❤
Nice  song,❤❤❤❤❤❤❤❤
Kon kon 2024me is song ko sun rehe ho,❤
Nice song,😢😢😢❤
nice,😢
I love all these songs,❤❤😊
Boriyat,😂😂😂😂
Mind blowing song 🥰🥰🥰,❤❤❤
Lovely song,❤❤❤
I love this all songs,❤❤❤❤❤
Nice bro I have party,❤
Z2024,❤😂😂🎉😢😮😅😊😊🎉😅😢😮😅😊
D2ssdd8j️. Bol 0:40   n.  nu.  b🤗ss.    0:40,🖥😅😮😅😊😮😂
Who is listening in 2025,🎉🎉🎉
supersong️🥭🥥️🧅🫐🤣,❤🙏👌🍎🍏😘🍊🍌🍉🍍🍅🌶🍇🍓😂❤❤❤❤❤❤❤❤❤
2024 October 10,👀💘💘💘
My favourite song,❤❤❤
Old is gold,😊
L,❤
my favourite song🥰,😀😍😘
Shoy🤗🤐️🤩🤔,🎉🙏🌹❤😘🌻😭👍😁🎂🐵✨🎵👺👑💥😡😳
8 Oct 2024,❤😅
vivAAAAMW,❤❤❤❤❤
Very nice song,😍❤
ধন্যবাদ,❤
Gjb....,😢😢😢😊😊😊😊😊
Nice,❤❤❤
My favorite  Ilove,🎵❤❤❤❤❤❤
Prabhash,💔😭😭
Song,❤
Uttar Pradesh to old song laber,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
Hit song's,❤❤❤
Hm or kon,😂
October 2024 me sunne Wale attendance lagao️️️,❤❤❤
V,😮
Now listening,❤❤❤❤❤
গান গুলো শুনতে সেই লাগলো আমার মতো কার কার ভালো লাগলো??,❤❤❤❤
My favorite movie and all song,🎉
"Miss youuu my everything , world ,my happiness ,I really miss you ☹️",😍🌎😊😢😖
Song ️♥️☺️☺️,❤
Me hu,❤❤
Very nice song ️️️,❣❣❣
nice songs,❤😊😊
Nice song,❤
ílpp,🎉😊😊😊
Love you,❤❤
29 September,😂
Me to 29 saptember me sun rahi hu,😊😊❤
29 September wale attendance mark kro,😊
Old is gold,❤
"Mm. ('m? Mm.  .  .. 
l. õ",🎉🎉🎉
Cet exam dene jaa rha hu train me suan rha hu....,😅😂
2024  me sunne Wale like kre,😂
Nice song,❤❤❤❤❤
So nice all songs,😊
27 September 2024,😅
Old is gold song Hyee,💖💖
I like old songs this time,❤
Old is gold,🎉🎉🎉
Bangladesh theke kara kara acho 27/9/2024,😊😊
Old is Gold,❤🎵
Nice,❤
Nice song,❤❤❤❤
Nice song,❤❤❤❤❤❤❤❤
M 25 sep ko sun rhi hu,🎉❤😊
ভালো ♥️♥️,👍👍
Me to 25 September 2024 ko sun rah hu,❤❤❤
Dy7dd15,🎉
Dy7dd15,🎉
Dy7dd15,🎉
Me 24sep.2024 11.45pm ko sun rha hu,😂😊😊😊
old is gold,❤❤❤❤❤
Aaaaaa,🎉❤
Old is gold my favorit song,❤❤
So sweet,❤❤❤
So sweet,❤❤
Nice voice I love this song,❤❤❤
"Very nice and beautiful sweet  heart breaking love  songs of ️ 90's. Namaste    uditnarayan sir, Alka Yagnik ,Sanu da duet ♥️. 10:39",😋💔❤👌🙏👋
Nice video,😊
My favourite song,❤❤❤
September 21 12:10 pm,😁
Jahanggir Alam Jhenaidah Dhaka Bangladesh. Very Very nice beautiful 🥀🥀,💐💐🌹🌹🇧🇩🇧🇩🇧🇩👈
Nice song,❤❤❤
Ilove,❤❤❤❤❤❤❤❤❤❤❤❤❤
Oioi,🙏🙏🙏🙏😅🙏🙏🙏🙏
"Old is gold ,",❤❤❤❤❤❤❤❤❤❤
I.    Love    songs,😍😍😍😍😍😍😍😜💞💞💞💞💞💞💞
Hmaressurdabaithehai mumbaike johmgugtagalerhusbko madhrchodoko foshdibaloko ssurgavmehai krtibu gughtbakaydaptakrbalenakisigdhese kiprdakrtehai kusibhijatidhrkonhikoltemuh schoolkocchod prdemehirhehai raniyokitrhmhlme khdkikmaikahai ssurjinenhibnayathahmreliye,❤🎉
I love  this  song,❤❤❤❤
Madya pradeshFewyear old,❤❤❤❤
Old tho Old rayaga,😂
Nice song,🎵🎵🎵🎵🎵🎵🎵
Mast song,🎉
Nice song,❤❤
Supper dupper song,❤❤❤
So cute song,😍
Jaat Sarkar,❤❤❤🎉🎉😊😊
Nice song I love it,😊
My favourite song,❤❤
Raj....name hai.,❤
nice old song,😍😍😍😍😍😍😍
krish    sonar  ji king  the 3:28 3:29 3:30 3:30 3:31 3:31 3:31 3:32 3:33 3:33 3:34 3:34 3:35 3:35 3:35 3:36 3:36 3:37 3:38 3:38 3:38 3:39 3:39 3:39 3:40 3:40 3:40 3:40,❤❤❤❤🎉🎉🎉🎉🎉😢😮😅😅😊
0 vq¹,❤
sunny,❤❤❤❤❤❤❤❤❤❤❤❤❤
Who watch in 2024 please like,❤❤
Old is gold,❤
Today's is best song,❤❤
Nice song,❤❤
nice,🎉
Best one,❤❤
My favourite song all time 90s,❤❤❤
Old is gold song,❤
পেহেলে তো কাভি কাভি গাম থা আব এ দরদ যুদাই হে হর পল আসু রেলাতি হে,❤❤
পেহেলে তো কাভি কাভি গাম থা আব এ দরদ যুদাই হে হর পল তেরা ইয়াদ সাতাতি হে,❤❤
মেরা ছোড় জান মেরি আপনা খেয়াল তু রাখনা,❤❤
আঁখরি সাস তক তেরা পেয়ার রহেগি যব তক তুনা না আয়ে গি তেরা ইনতু জার রহেগা,❤❤
love this listing old song,❤❤❤
R,🎉
Nice lyrics,❤❤❤❤❤❤❤
Love,❤❤❤❤❤❤❤❤❤❤
I hate u sound,😅
Mast song,❤❤❤
My love song,💗💗💗
Wow so sweet babyI like you ️️,🎉🎉🎉🎉❤❤❤❤💋❤
My favourite song,❤
Evergreen songs,❤❤❤
Good,❤❤❤
muksida,❤❤❤❤❤❤❤❤
Old is gold 🪙,💫🍺🏆
All time favorite,❤
nice song,😊❤
KSBS,🌺💋💋
SKB🦜,❤❤👌
My favourite song,❤❤❤
My school life songs,❤
Old is gold my favorite song,❤😊
My favourite song,❤❤❤❤
0ld is gold  very nice song,❤😊
I love this love,❤
wow super songs old is gold really🤗,❤❤❤❤❤💖
Nice,🎵🎶
Gold is old ️️,🗝🗝
old is gold I love old songs,😮
"I hate Hindi songs and I love Pakistani songs 
⬇️",❤❤❤❤🇵🇰🇵🇰🇵🇰🇵🇰🇵🇰🇵🇰🇵🇰
Old is gold,❤
Love ️️️️️️️,❤❤❤❤❤❤❤
My favourite song,😻😻❤❤❤❤❤❤💞💞💞💞💞💞💞💞💞💞🙏🙏💯💯💯💯💯💯💯💯💯💯💯
My favourite song,❤❤❤
i Like you old songs ️‍🩹,❤❤
Wowowwwow,❤❤❤
Hindi movie,❤❤
Mst.... Song's,❤😊
Nice,🎉
Old is gold,❤
"1
Q
W
E
E
E
3
E
E
E
E
Er
R
R
R
R
Re

R
E
E
E
E
R

R
R
R",😢
terebinakahidilnalage,❤❤❤❤❤❤❤❤😢😅
Maiagarsamneaabhijayakaru,❤❤❤❤❤❤❤
Old is gold,❤❤❤❤❤
Nice,😢😢
Pooja,❤❤❤❤❤
really cute song,❤❤
I love it old song,❤❤🎉🎉
I like and love this aal song,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
kas me ho ta bao so love,❤❤❤
Nice,❤
Hii,❤❤❤❤
"Oko
m",😊
Old is gold,❤❤❤❤❤❤
HII,❤❤❤❤
"☁  ☁☁
         BYEBYE*
☁               
       ☁",👋🚀✨✨🎈✨✨✨🌾✨💨🏃🏠🏢
so sweet!!,💓✨🌟✨👩✨🍬✨👚👉🍬🍰🍡🍡🍥🍬🎂🍧💗
Love YOU,🌴🍃🌺🌺🍃🌴💛🌻🌻🌻🌻💚🌻🌻😍🌻🌻🌻🌻🌻🌻🌹🌻🌻💚🌻🌻🌻🌻💛🌴🍃🌺🌺🍃🌴
Kiss!,🐇🐇🐇💬💬🐇🐇🐇💬💬💋💋👩🐇💬💬🐇🐇👐🐇🐇🐇🐇🐇👗🐇🐇🐇🐇🐇👠👠🐇🐇
"Hi, honey!",🐝🐝🐝🐝🐝🐝🌼🌼🍯🍯🍯🍯🍯🍯🌼🌼🌼🌼🌼🌼🌱🍃🌱🌱🍃🌱
so sweet!!,💓✨🌟✨👩✨🍬✨👚👉🍬🍰🍡🍡🍥🍬🎂🍧💗
"。*。~xXx
。。*。Have。
。a wonderful day.
.´*。.¨¯`*。。",🌟💗😃💚🌟🌟💜🌟❤🌟
Goodsong,❤❤😊
****z*z** 3:18 **zaa***zaz za*zzz*****z 3:27 z*********za****zaa,😊😊😊😊😊😊😊😊😊
Sadi aab dur nhi,❤❤❤❤
Ooʻo,❤❤❤❤🎉😂
⁰0990lpl,😅😊
Koe okm0iml,😊
"so
nice
songs",❤❤❤❤❤❤❤❤❤❤❤❤❤❤
Ajay. Baboo,❤❤❤
Ajay. Baboo,❤❤❤
Ajay. Baboo,❤❤❤
Supar songs,❤❤❤❤
Ak,❤❤❤❤❤😂
love song ️️,❤❤❤❤
Vijay Yadav,❤❤❤❤❤❤❤❤❤❤❤❤❤🎉🎉🎉🎉
Love songs,💕
Love,😢🎉😂❤🎉😊😊😅😮
Nice,❤❤❤❤❤❤❤❤
I love you Jaan.,❤❤❤❤❤❤❤
Maja aaagaya,❤🎉❤❤❤❤❤❤❤❤❤❤🎉🎉
Me,❤
Hii.goodmataheg.iim.jayesH☄️🦇,✨🌠💘💐💞💓🌹
Shuaib weds neha,❤❤❤😊
Nice,👍❤
Super,🔥🔥🔥🔥🔥🔥
nice songs,❤❤❤❤
S a meeting you on t I will be unable w to join or join it  I will call after sometime  I will call in w u and be a a person  to the same and you  a person who can help,😭😞😀🐱😄😂💓💓💓💓💓💓💓💓😢😮🎉😂❤❤❤❤❤❤❤
Our teenage life fvrt movie,❤❤❤
Hil,❤
Hil🤫,🎉❤🙏
Hil,🎉❤
Love this song,❤
Forever songs,❤
Rt,💘💘💘
super song,❤
Old is gold love,❤❤
Vote,🎉❤
Nice,🎉
I like it old song,❤❤
Nice,😊
Op 1:34 1:35 1:35 1:35 1:36,😊😊😊❤❤❤❤❤🎉😅😊❤🎉😢😅😊😊😅😮😢🎉😂❤❤😂🎉😢😮😅😊😊😅😮😢🎉😂❤😂🎉😢😮😅😊😅😮😢🎉😂❤❤❤😂😂🎉🎉😢😮😮😊😊😊😊😊😅🎉🎉😢😮😮😅😊😊😂❤😂😮😊😊😊😊
G,❤
Nice song,😍🎀💐
I like it,👌❤❤❤❤❤❤
বাগাা,😂😂😂😂😂😂😂
g.  5cf z g c21,😅😊
Ilove,😂😂😂😂😂
Old is gold,🏆❤❤🎉
🥰🥰🥰🥰dari kecil smpe skrng pling suka sklih lgu2 India🥰🥰🥰🥰,❤❤❤❤
".

L l",😊😊🎉😊
"love,song",❤❤
Thanks you nice to,👍👍👍👍👍👍👍
Who is listening in January 2025,😍🙏
Who is listening in 2025,❤
January 2025,😢
Who is listening 2K25 like me,❤
Control babumoshai,😂😊
My favourite legendary singer KK !,👌👍🙏
4 jan 2025,❤
Who is listening in January 2025‍♂️,🙋
Who is listening in january 2025,❤
Who is listening in Jan 2025,❤
Jan....2025,❤
2 janwari 2025,😊
Super song,👍❤
Anyone 2030,❤🎉🎉🎉
Anyone in 2025,🎉😂
Listing on 1-1-2025,❤❤
Who is hearing in 1 January 2025,😊
Listening nw,❤
Listening on new year night,❤🎉
Today’s special day 30-12-3024,❤
01-01-2025 morning workout,💔
@heylyrics,💕🎶
I love kk,❤❤
Who is listening today 28 dec 2024,❤❤
We miss you kk sir  you are the legend and legend never dies you are the best singer of our time,😢
Fd dvc,🎉
Who is listening in travel specially in Train,😂
KK forever ♾️️,❤
25.12.2024 12:22AM,❤❤❤
Underrated singer better than arijit singh,💝
Kk,😢
I love songs,🌹
Favourite singer 🩹,🍃😌
Who is listening  December 2024?,🎧😊
K K all time hit singer I love k k sir,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤😊😊😊😊😊😊😊😊😊😊😊
Indian best singer,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
Click  Who is listening This December 2024,👍
nice bro,❤❤❤❤❤❤❤❤😢😢😢😢😢😢😢😢😢😢
